model,MAE,RMSE,params
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...)",175.7372107872596,226.08029574266007,"{'colsample_bytree': 0.6853274195347949, 'gamma': 0.07759316782513503, 'learning_rate': 0.08529505250030253, 'max_depth': 2, 'n_estimators': 12, 'reg_alpha': 0.06907577379770585, 'reg_lambda': 0.128065809388194, 'subsample': 0.7488581890733059}"
model,MAE,RMSE,params
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...)",175.7372107872596,226.08029574266007,"{'colsample_bytree': 0.6853274195347949, 'gamma': 0.07759316782513503, 'learning_rate': 0.08529505250030253, 'max_depth': 2, 'n_estimators': 12, 'reg_alpha': 0.06907577379770585, 'reg_lambda': 0.128065809388194, 'subsample': 0.7488581890733059}"
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...)",166.21156350160257,232.04656788145667,"{'colsample_bytree': 0.752789052555149, 'gamma': 0.16855984837103255, 'learning_rate': 0.023238483856757135, 'max_depth': 10, 'n_estimators': 45, 'reg_alpha': 0.011408475354506786, 'reg_lambda': 0.16781115575718109, 'subsample': 0.7523798622752225}"
model,MAE,RMSE,params
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...)",175.7372107872596,226.08029574266007,"{'colsample_bytree': 0.6853274195347949, 'gamma': 0.07759316782513503, 'learning_rate': 0.08529505250030253, 'max_depth': 2, 'n_estimators': 12, 'reg_alpha': 0.06907577379770585, 'reg_lambda': 0.128065809388194, 'subsample': 0.7488581890733059}"
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...)",166.21156350160257,232.04656788145667,"{'colsample_bytree': 0.752789052555149, 'gamma': 0.16855984837103255, 'learning_rate': 0.023238483856757135, 'max_depth': 10, 'n_estimators': 45, 'reg_alpha': 0.011408475354506786, 'reg_lambda': 0.16781115575718109, 'subsample': 0.7523798622752225}"
"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...)",141.91019694010416,189.9546302785396,"{'colsample_bytree': 0.9216513739966099, 'gamma': 0.30268542899736983, 'learning_rate': 0.033318027657413755, 'max_depth': 14, 'n_estimators': 67, 'reg_alpha': 0.4422734619044191, 'reg_lambda': 0.43234718676262957, 'subsample': 0.7299471217787614}"
model,MAE,RMSE,params
